[2024-08-13 18:47:45.350] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.357] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.362] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.366] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.370] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.374] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.379] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.386] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.391] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.395] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.399] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.404] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.408] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.412] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.416] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.420] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.425] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.432] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.436] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.442] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.446] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.453] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.458] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.462] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.466] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.470] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.475] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.482] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.487] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.491] [APP] [debug] v_x: 0, v_y: 0
