[2024-08-13 19:35:06.903] [APP] [debug] x: 3535.5341796875, y: -3535.5341796875
[2024-08-13 19:35:06.910] [APP] [debug] x: 3535.5341796875, y: -3535.5341796875
[2024-08-13 19:35:06.915] [APP] [debug] x: 3535.5341796875, y: -3535.5341796875
[2024-08-13 19:35:06.922] [APP] [debug] x: 3535.5341796875, y: -3535.5341796875
[2024-08-13 19:35:06.926] [APP] [debug] x: 3535.5341796875, y: -3535.5341796875
[2024-08-13 19:35:06.930] [APP] [debug] x: 3535.5341796875, y: -3535.5341796875
[2024-08-13 19:35:06.934] [APP] [debug] x: 3535.5341796875, y: -3535.5341796875
[2024-08-13 19:35:06.938] [APP] [debug] x: 3535.5341796875, y: -3535.5341796875
[2024-08-13 19:35:06.942] [APP] [debug] x: 3535.5341796875, y: -3535.5341796875
[2024-08-13 19:35:06.947] [APP] [debug] x: 3535.5341796875, y: -3535.5341796875
[2024-08-13 19:35:06.951] [APP] [debug] x: 3535.5341796875, y: -3535.5341796875
[2024-08-13 19:35:06.955] [APP] [debug] x: 3535.5341796875, y: -3535.5341796875
[2024-08-13 19:35:06.962] [APP] [debug] x: 3535.5341796875, y: -3535.5341796875
[2024-08-13 19:35:06.967] [APP] [debug] x: 3535.5341796875, y: -3535.5341796875
[2024-08-13 19:35:06.971] [APP] [debug] x: 3535.5341796875, y: -3535.5341796875
[2024-08-13 19:35:06.976] [APP] [debug] x: 3535.5341796875, y: -3535.5341796875
[2024-08-13 19:35:06.981] [APP] [debug] x: 3535.5341796875, y: -3535.5341796875
[2024-08-13 19:35:06.988] [APP] [debug] x: 3535.5341796875, y: -3535.5341796875
[2024-08-13 19:35:06.993] [APP] [debug] x: 3535.5341796875, y: -3535.5341796875
[2024-08-13 19:35:07.001] [APP] [debug] x: 3535.5341796875, y: -3535.5341796875
[2024-08-13 19:35:07.005] [APP] [debug] x: 3535.5341796875, y: -3535.5341796875
[2024-08-13 19:35:07.010] [APP] [debug] x: 3535.5341796875, y: -3535.5341796875
[2024-08-13 19:35:07.018] [APP] [debug] x: 3535.5341796875, y: -3535.5341796875
[2024-08-13 19:35:07.022] [APP] [debug] x: 3535.5341796875, y: -3535.5341796875
[2024-08-13 19:35:07.028] [APP] [debug] x: 3535.5341796875, y: -3535.5341796875
[2024-08-13 19:35:07.034] [APP] [debug] x: 3535.5341796875, y: -3535.5341796875
[2024-08-13 19:35:07.038] [APP] [debug] x: 3535.5341796875, y: -3535.5341796875
[2024-08-13 19:35:07.044] [APP] [debug] x: 3535.5341796875, y: -3535.5341796875
[2024-08-13 19:35:07.048] [APP] [debug] x: 3535.5341796875, y: -3535.5341796875
[2024-08-13 19:35:07.056] [APP] [debug] x: 3535.5341796875, y: -3535.5341796875
[2024-08-13 19:35:07.061] [APP] [debug] x: 3535.5341796875, y: -3535.5341796875
[2024-08-13 19:35:07.065] [APP] [debug] x: 3535.5341796875, y: -3535.5341796875
[2024-08-13 19:35:07.072] [APP] [debug] x: 3535.5341796875, y: -3535.5341796875
[2024-08-13 19:35:07.079] [APP] [debug] x: 3535.5341796875, y: -3535.5341796875
[2024-08-13 19:35:07.084] [APP] [debug] x: 3535.5341796875, y: -3535.5341796875
[2024-08-13 19:35:07.089] [APP] [debug] x: 3535.5341796875, y: -3535.5341796875
[2024-08-13 19:35:07.096] [APP] [debug] x: 3535.5341796875, y: -3535.5341796875
[2024-08-13 19:35:07.101] [APP] [debug] x: 3535.5341796875, y: -3535.5341796875
[2024-08-13 19:35:07.105] [APP] [debug] x: 3535.5341796875, y: -3535.5341796875
[2024-08-13 19:35:07.110] [APP] [debug] x: 3535.5341796875, y: -3535.5341796875
[2024-08-13 19:35:07.117] [APP] [debug] x: 3535.5341796875, y: -3535.5341796875
[2024-08-13 19:35:07.122] [APP] [debug] x: 3535.5341796875, y: -3535.5341796875
[2024-08-13 19:35:07.128] [APP] [debug] x: 3535.5341796875, y: -3535.5341796875
[2024-08-13 19:35:07.134] [APP] [debug] x: 3535.5341796875, y: -3535.5341796875
[2024-08-13 19:35:07.138] [APP] [debug] x: 3535.5341796875, y: -3535.5341796875
[2024-08-13 19:35:07.143] [APP] [debug] x: 3535.5341796875, y: -3535.5341796875
[2024-08-13 19:35:07.147] [APP] [debug] x: 3535.5341796875, y: -3535.5341796875
[2024-08-13 19:35:07.151] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.155] [APP] [debug] x: 5000, y: 0
